Date,Lag_1,Lag_2,Lag_12,Actual_Sales,Predicted_Sales
2015-03-01,244159.38,268265.68,230547.87,347721.08,281870.1155418382
2015-04-01,347721.08,244159.38,233181.49,302132.7,289298.2110194558
2015-05-01,302132.7,347721.08,304510.09,304798.92,368299.3306919867
2015-06-01,304798.92,302132.7,341162.49,372577.35,409279.3503456573
2015-07-01,372577.35,304798.92,223642.58,278672.37,280171.6067116747
2015-08-01,278672.37,372577.35,323876.75,432731.23,389224.63538650377
2015-09-01,432731.23,278672.37,326897.51,405436.9,398802.5233918992
2015-10-01,405436.9,432731.23,270122.02,406659.65,334947.44468083256
2015-11-01,406659.65,405436.9,383039.44,508955.02,461785.8757159667
2015-12-01,508955.02,406659.65,371245.52,427757.39,453132.1251781576
